Source system,Field name,Source copybook field label,RDA API field label,Category,Copybook data dictionary name (if different),Source system definition,Plain language definition,Additional context ,Enum Y/N,Source system field types and values according to their documentation,Copybook source,Version added,CCLF Mapping,CCW Mapping ,837 Mapping ,FISS <> MCS Mapping,Open questions 
FISS,Healthcare Common Procedure Coding (HCPC) Code,HCPC-CD,fiss_revenue_lines.hcpc_cd,Service information,n/a,"This field contains the code assigned by the Centers for Medicare and Medicaid Services (CMS) to identify the specific medical procedures, medications, supplies, or equipment being provided; for the record depending on the copybooks it is used in.",,,,"5 characters, alphanumeric

None = Not Applicable

RDA Note: No source for HCPCS codes was shared in the source system documentation. However, a search on Google turned this up: https://www.cms.gov/medicare/fraud-and-abuse/physicianselfreferral/list_of_codes",FSSCIDRC,0.12,,,,,
FISS,HCPC Indicator,HCPC-IND,fiss_revenue_lines.hcpc_ind,Service information,n/a,This field identifies the HCPC Indicator.,,,,"1 character, alphanumeric

R = Rural Home Health Intermediary (RHHI)
H = Rural DME
Space/blank = All others",FSSCIDRC,0.12,,,,,
FISS,HCPCS Modifier,HCPC-MODIFIER,fiss_revenue_lines.hcpc_modifier,Service information,n/a,"This field contains a qualifier of the HCPCS procedure code that enables more specific procedure identification, first occurrence.",,,,"2 characters, alphanumeric

Spaces or a valid alphanumeric value.  
None = Not Applicable

See HCPC Modifiers table",FSSCIDRC,0.12,,,,,
FISS,HCPC Modifier - Second Occurrence,HCPC-MODIFIER2,fiss_revenue_lines.hcpc_modifier2,Service information,n/a,"This field carries a qualifier of the HCPCS procedure code that enables more specific procedure identification, second occurrence.",,,,"2 characters, alphanumeric

Spaces or a valid alphanumeric value.  
None = Not Applicable

Note: An entry must appear in the first occurrence of the modifier sequence for an entry to be made in the second occurance.

RDA Note: Though the documentation for the source system does not include a table or source for codes, we assume that these were intended to be referenced: See HCPC Modifiers table",FSSCIDRC,0.12,,,,,
FISS,HCPC Modifier - Third Occurrence,HCPC-MODIFIER3,fiss_revenue_lines.hcpc_modifier3,Service information,n/a,"This field carries a qualifier of the HCPCS procedure code that enables more specific procedure identification, third occurrence.",,,,"2 characters, alphanumeric

Spaces or a valid alphanumeric value.  
None = Not Applicable

Note: An entry must appear in the first and second occurrences of the modifier sequence for an entry to be made in the third occurance.

RDA Note: Though the documentation for the source system does not include a table or source for codes, we assume that these were intended to be referenced: See HCPC Modifiers table",FSSCIDRC,0.12,,,,,
FISS,HCPC Modifier - Fourth Occurrence,HCPC-MODIFIER4,fiss_revenue_lines.hcpc_modifier4,Service information,n/a,"This field carries a qualifier of the HCPCS procedure code that enables more specific procedure identification, fourth occurrence.",,,,"2 characters, alphanumeric

Spaces or a valid alphanumeric value.  
None = Not Applicable

Note: An entry must appear in the first three occurrences of the modifier sequence for an entry to be made in the fourth occurance.

RDA Note: Though the documentation for the source system does not include a table or source for codes, we assume that these were intended to be referenced: See HCPC Modifiers table",FSSCIDRC,0.12,,,,,
FISS,HCPC Modifier - Fifth Occurrence,HCPC-MODIFIER5,fiss_revenue_lines.hcpc_modifier5,Service information,n/a,"This field carries a qualifier of the HCPCS procedure code that enables more specific procedure identification, fifth occurrence.",,,,"2 characters, alphanumeric

Spaces or a valid alphanumeric value.  
None = Not Applicable

Note: An entry must appear in the first four occurrences of the modifier sequence for an entry to be made in the fifth occurance.

RDA Note: Though the documentation for the source system does not include a table or source for codes, we assume that these were intended to be referenced: See HCPC Modifiers table",FSSCIDRC,0.12,,,,,
FISS,Ambulatory Payment Classification (APC) Healthcare Common Procedure Coding System (HCPCS) APC,APC-HCPCS-APC,fiss_revenue_lines.apc_hcpcs_apc,Service information,n/a,"This field identifies the HCPCS APC group code, which is assigned to the billed HCPCS code in the Outpatient Code Editor (OCE) module.",,If there is a value in the HIPPS-APC-LINES it will be passed in this field rather than represented as a separate field. To accomodate that shift required making the APC-HCPCS-APC 5 characters alphanumeric though it is 5 characters numeric in FISS. Jose note: pull context from the bottom of the techspec,,"5 characters, alphanumeric

None = Not Applicable

RDA Note: Though the documentation for the source system does not include a table or source for codes. A search on Google turned this up: https://www.cms.gov/medicare/fraud-and-abuse/physicianselfreferral/list_of_codes",FSSCIDRC,0.12,,,,,
FISS,Fiscal Intermediary Number,INTERMEDIARY-NB,fiss_claims.intermediary_nb,Claim processing information,n/a,This field identifies the identification number of the fiscal intermediary as designated by the Centers for Medicare and Medicaid Services (CMS).,,,,"5 characters, alphanumeric

None = Not Applicable",FSSCIDRC,0.13,,,,,
,RDA Claim Key,N/A,fiss_claims.rda_claim_key,Field created for RDA API,n/a,n/a,,This field contains the primary key employed by the RDA API database to help distinguish unique FISS claims; as DCN was established to be insufficient for uniquess. It was added with the release of RDA API 0.13.0 and is a concatenation of the fields Document Control Number (DCN) and Fiscal Intermediary Number (INTERMEDIARY-NB),,,n/a,0.13,,,,,
